project_id,name,desc,goal,keywords,disable_communication,country,currency,deadline,state_changed_at,created_at,launched_at,backers_count,final_status
kkst1451568084,drawing for dollars,I like drawing pictures. and then i color them too. so i thought i would suggest something for me to draw and then if someone wants...,20.0,drawing-for-dollars,False,US,USD,1241333999,1241334017,1240600507,1240602723,3,1
kkst1474482071,Sponsor Dereck Blackburn (Lostwars) Artist in Residence in Kankakee Illinois,I  Dereck Blackburn will be taking upon an incredible journey in the month of May 2009. I will be traveling to my hometown of Kankakee...,300.0,sponsor-dereck-blackburn-lostwars-artist-in-residence-in-kankakee-illinois,False,US,USD,1242429000,1242432018,1240960224,1240975592,2,0
kkst183622197,Mr. Squiggles,So I saw darkpony s successfully funded drawing for dollars project and I thought  That s fun.  I drew this guy  who I m calling...,30.0,mr-squiggles,False,US,USD,1243027560,1243027818,1242163613,1242164398,0,0
kkst597742710,Help me write my second novel.,Do your part to help out starving artists and help me write my second novel! I have just finished writing my first novel  and...,500.0,help-me-write-my-second-novel,False,US,USD,1243555740,1243556121,1240963795,1240966730,18,1
kkst1913131122,Support casting my sculpture in bronze,I m nearing completion on a sculpture  currently titled  Un-named Man (2009)  which stands approximately 13-inches tall and is...,2000.0,support-casting-my-sculpture-in-bronze,False,US,USD,1243769880,1243770317,1241177914,1241180541,1,0
kkst1085176748,daily digest,I m a fledgling videoblogger living in Brooklyn  NY. The webcast I m making  which you can check out at http://www.youdigest.com...,700.0,daily-digest,False,US,USD,1243815600,1243816219,1241050799,1241464468,14,0
kkst1468954715,iGoozex - Free iPhone app,I am an independent iPhone developer that believes in free software. Recently I released an iPhone app that assists users of Goozex...,250.0,igoozex-free-iphone-app,False,US,USD,1243872000,1243872028,1241725172,1241736308,2,0
kkst194050612,Drive A Faster Car 2.0,Drive A Faster Car (http://www.driveafastercar.com) has been a personal project and love of mine for the past eight years -- blogging...,1000.0,drive-a-faster-car-20,False,US,USD,1244088000,1244088022,1241460541,1241470291,32,1
kkst708883590,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""LostLES"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" at Tiny's Giant",Opening Friday  June 5 2009  on view through September  2009. Tiny’s Giant Sandwich Shop  129 Rivington St  NYC 10002. Michael...,5000.0,lostles-at-tinys-giant,False,US,USD,1244264400,1244264422,1241415164,1241480901,44,0
kkst890976740,Choose Your Own Adventure - A Robot Painting Series,This project is for a Choose Your Own Adventure painting series. Here is how it works. You pledge $35 and you are put in line...,3500.0,choose-your-own-adventure-a-robot-painting-series,False,US,USD,1244946540,1244946632,1242268157,1242273460,18,0
kkst2053381363,Anatomy of a Credibility Meltdown — a book about the Voting Machine Controversy,I am an independent PR practitioner with a longtime interest in voting machines. With your help I can write a book that chronicles...,30000.0,anatomy-of-a-credibility-meltdown-a-book-about-the,False,US,USD,1245026160,1245026721,1241829376,1242056094,7,0
kkst918550886,No-bit: An artist book of analog drawings inspired by digital pixels.,I want to create an artist book of drawings inspired by digital pixels. What s an artist book? It s a work of art in the form of a book  of course...,300.0,no-bit-an-artist-book-of-analog-drawings-inspired-by-digital-pixels,False,US,USD,1245038400,1245038428,1242523061,1242528805,2,0
kkst934689279,"Indie Nerd Board Game, Needs Player Character Miniature Sculpted!  ",pictured here is the character we would like to sculpt as a high quality game miniature - the Forsaker  a man that has abandoned his sanity to face..,1500.0,indie-nerd-board-game-needs-hero-miniature-sculpted,False,US,USD,1245042600,1245042919,1242364202,1242369560,28,1
kkst191414809,Icons for your iPhone apps,I make cool icons for iPhone developers at http://glyphish.com and if I can collect $500 in donations  I ll release the whole set...,500.0,awesome-icons-for-your-iphone-apps,False,US,USD,1245092400,1245092431,1241034764,1241039475,98,1
kkst569584443,HAPPY VALLEY: Dexter meets 6 Feet Under. For the web. Help me make the pilot.,I am a professional creator and producer of web video series The Burg  The All-For-Nots and All s Faire. I am putting together a...,500.0,help-me-make-my-webseries-pilot-on-crime-and-anti-violence,False,US,USD,1245528660,1245528920,1242072711,1242333869,3,0
kkst485555421,Project Pedal,Project Pedal is an independent documentary about the shift in perspective after traveling alone  for thousands of mi&hellip;,1000.0,project-pedal,False,US,USD,1245556740,1245556829,1242682134,1242690018,20,1
kkst1537563608,"Frank Magazine Erotica Issue Party, NYC",We are throwing a party to celebrate the release of the Frank 151 Erotica issue  hosted by Mos Def & Francesco Clemente. ,600.0,frank-magazine-erotica-issue-party-nyc,False,US,USD,1245882360,1245882631,1244579167,1244742156,12,0
kkst1261713500,Crossword Puzzles!,I create crosswords and other puzzles. These have appeared  among other places  in The New York Times  The Wall Street Journal  and Games Magazine...,1500.0,crossword-puzzles,False,US,USD,1246354320,1246355121,1240997554,1241005923,163,1
kkst910550425,"Run, Blago Run! Show",A 3-day pop-up art gallery of work depicting ex-Governor Rod Blagojevich aka Blago.,3500.0,run-blago-run-show,False,US,USD,1246420800,1246420854,1244299453,1244388012,54,0
kkst139451001,It Might Become a Movie,We are broke film students who have created a campaign called  It Might Become a Movie  which is destined to help us raise funds for a short film.,1000.0,it-might-become-a-movie,False,US,USD,1246420800,1246420840,1243272026,1243616180,23,1
kkst1765345673,365 Postcards,Postcards are fun to make  fun to send  and fun to receive. I want to send a postcard every day for one year starting June 1st...,365.0,365-postcards,False,US,USD,1246424400,1246424452,1241624138,1241626807,54,1
kkst858578162,Up North Cookbook,Three years ago  I moved to Texas after spending my entire life in the Midwest. This summer  I will been spending 6 weeks traveling...,500.0,up-north-cookbook,False,US,USD,1246461720,1246462232,1241191320,1241193084,29,1
kkst1714875186,Take a postcard trip with Anita as she watercolors her way through Bosnia & Croatia,Hi there  I am fundraising for a quality watercolor & brush set so that I can do my homeland of Bosnia justice this summer. Check out my project!  :),400.0,take-a-postcard-trip-with-anita-as-she-watercolors,False,US,USD,1246462080,1246462249,1244561317,1244666170,20,1
kkst1055594093,Decorative Nihilism Art Catalog,My most recent painting show  Decorative Nihilism  just closed in New York City. Now that the show is down I want to share my work...,100.0,decorative-nihilism-art-catalog-0,False,US,USD,1246464000,1246464028,1242143827,1242147731,10,1
kkst2097371618,Unschooling : The Movie,A documentary that explores Unschooling : homeschooling without the artificial structure of formal education. Advice and answers from kids & parents.,250.0,unschooling-the-movie,False,US,USD,1246488720,1246489231,1244909182,1245023327,51,1
kkst700257702,Send some kids to GameCamp!,GameCamp! Athens needs your help to launch its first camp this July!  Money will go to equipment  scholarships for the kids  and hiring experts!,3000.0,gamecamp-athens,False,US,USD,1246593540,1246593633,1243895086,1243967591,36,1
kkst1026630838,Smogr Alert Field Recording,Help me interview people for my design-focused podcast! This year  due the economic troubles (Great Recession?) I was downsized...,640.0,smogr-alert-field-recording,False,US,USD,1246725600,1246725920,1241023226,1241035693,3,0
kkst289563306,"Unbunny's """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Black Strawberries"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Limited-Edition LP",One of my favorite albums of all time was put out by a tiny  little-known label out of Portsmouth  New Hampshire in the Fall of...,3500.0,unbunnys-black-strawberries-limited-edition-lp,False,US,USD,1246846200,1246846524,1241489403,1241499817,132,1
kkst1298731864,Help fund Flying Kebab #4,Flying Kebab is an independent internet video serie featuring Nando  a photographer who passes one year searching for his inheritance in Lebanon.,300.0,flying-kebab-4,False,US,USD,1247122380,1247122829,1244962400,1245143921,16,1
kkst1066861265,Firewall of Sound,Help us complete a feature-length documentary about the future of the independent music industry!,1000.0,firewall-of-sound,False,US,USD,1247259600,1247259637,1243654670,1243658859,19,1
kkst1352469426,Help make Attractive Eighties Women's new album,We re trying to raise $1000 to print our new album!,1000.0,help-make-attractive-eighties-womens-new-album,False,US,USD,1247284740,1247284837,1243527163,1243810533,74,1
